	track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
150	track_0007259	571834	10149034	646	503	4	0	7.0	2
6545	track_1157362	3522217	6211754	6246	3946	220	12	9.8655	119
6546	track_1157358	1531020	3319512	3052	2064	74	2	9.873	63
7088	track_1194315	1070030	3036631	1767	1015	26	0	6.0	3
5614	track_1093792	758911	2954989	1323	774	168	7	8.1429	7
2654	track_0354778	356531	2798285	1568	691	52	22	7.3333	6
1834	track_0206596	118642	2359922	232	96	4	0	7.3333	3
5612	track_1093794	324656	2245197	1065	630	135	12	8.7143	7
7015	track_1180601	1872113	2152656	246	135	5	0	0.0	1
3093	track_0415590	52151	1997334	616	321	12	0	8.0	5
1553	track_0171574	109833	1697726	599	260	15	0	7.6	5
5013	track_1051196	41186	1691091	327	189	17	0	8.0	2
5963	track_1119024	235959	1618143	611	392	5	0	9.0	3
2068	track_0242384	75705	1427741	2359	894	23	2	7.25	4
5020	track_1051197	226408	1416124	550	309	76	2	9.0	6
800	track_0043886	340593	1408257	2860	1498	24	1	8.6667	6
1436	track_0145968	200004	1405300	895	535	8	0	8.0	2
1520	track_0172031	261594	1354497	637	357	9	4	8.0	4
1381	track_0135660	293904	1295307	691	366	9	6	8.0	2
6548	track_1157361	270532	1245194	1184	694	33	1	8.0	2
7045	track_1187970	120629	1154329	736	505	2	0	8.0	2
6921	track_1176656	206851	1135550	1662	1059	2	0	7.5	4
4694	track_1009671	47730	1135303	219	103	9	4	9.0	4
5029	track_1053845	33908	1127108	350	229	2	0	8.0	2
4686	track_1009672	12852	1115483	131	43	4	0	8.0	2
4837	track_1036934	202510	1110448	379	181	68	5	8.625	8
7114	track_1194312	40174	1106282	397	224	21	1	8.0	2
9005	track_1357118	35772	1091840	280	158	0	0	7.5	2
5662	track_1093795	78869	1071310	543	320	27	3	8.6667	3
50	track_0005340	532810	1062857	7053	5108	31	2	6.25	4
3251	track_0457120	36327	1027065	1086	519	21	0	7.0	4
585	track_0035349	104661	1021824	2216	825	9	1	7.25	4
8974	track_1356349	16296	1015926	57	25	0	0	7.0	2
1389	track_0135657	31669	1013117	1069	378	11	4	6.75	4
6612	track_1162014	378246	1004512	1162	718	23	1	7.2	5
5037	track_1051207	7020	996954	309	145	9	0	8.5	4
88	track_0005339	406631	981709	7241	5048	53	3	6.6	5
165	track_0007247	27175	963694	765	583	12	2	8.0	2
6567	track_1157360	81479	939503	825	532	27	0	9.7647	17
1594	track_0174393	43950	930903	416	218	17	4	6.6667	3
3543	track_0592180	118808	922826	1340	661	11	0	8.75	4
2302	track_0296235	22500	892422	738	447	12	1	7.0	2
3113	track_0439178	15227	886344	77	44	2	0	7.0	2
3076	track_0415600	21290	873719	332	194	1	0	8.0	2
9014	track_1357120	9825	869088	13	4	0	0	7.0	2
4390	track_0945196	23103	866682	304	187	2	0	7.0	2
7288	track_1211603	49323	858485	120	80	0	0	8.0	2
6020	track_1121390	21150	856797	265	157	4	0	8.0	2
5638	track_1093793	74790	842841	756	471	62	5	8.4286	7
1097	track_0108303	13174	840034	386	196	23	0	8.25	4
3360	track_0510027	6996	826705	247	131	1	0	8.0	2
7292	track_1211601	14990	824842	155	74	2	1	5.3333	3
1550	track_0172021	81360	820562	577	250	17	9	7.0	3
4836	track_1036435	23982	819081	627	418	13	1	8.75	4
4649	track_1009675	4730	815102	81	28	3	0	8.0	2
6870	track_1169699	13420	813198	74	33	1	0	7.0	2
3359	track_0510028	47347	809854	356	206	34	11	8.0	2
1430	track_0145945	60949	809560	617	412	3	0	8.0	2
1641	track_0177570	100541	805308	693	269	7	1	7.5	4
7625	track_1254630	436061	789381	1049	652	53	3	8.25	4
2067	track_0242640	24178	787486	1484	941	8	0	9.0	3
5012	track_1051198	77949	770038	139	70	4	1	8.0	2
1862	track_0208939	6746	767790	117	49	5	0	7.0	2
5733	track_1097943	88607	764320	247	126	42	2	8.6667	3
5761	track_1107251	210027	749356	1003	524	81	13	9.3846	13
3249	track_0457127	45930	746313	610	322	1	0	8.0	2
3086	track_0415605	11786	740682	270	114	1	0	8.0	2
2712	track_0357192	59574	737311	297	132	15	9	8.0	2
2676	track_0348881	38525	720304	381	191	19	0	7.25	4
7091	track_1194317	26511	720161	408	250	7	0	8.0	3
1680	track_0181523	12427	710772	282	113	4	0	8.0	3
3827	track_0741317	17909	707486	269	109	3	0	8.0	2
2758	track_0364090	9097	704331	563	308	7	2	8.0	2
1518	track_0172018	47063	703230	486	278	12	3	8.0	2
4402	track_0945192	31263	695952	388	230	2	0	8.0	2
5022	track_1051201	14456	690004	237	134	3	0	8.2	5
2197	track_0261271	31301	689089	577	268	10	0	8.6	5
4433	track_0945199	18566	681131	370	225	6	0	8.0	2
3007	track_0402055	99488	680389	1810	782	29	0	0.0	0
6905	track_1169718	352751	674432	1177	676	22	1	9.0	3
3133	track_0437795	3886	671975	123	61	2	0	8.0	2
2081	track_0242410	43563	662457	1190	768	8	0	8.0	2
5076	track_1054396	38038	658863	252	137	17	5	8.0	2
2783	track_0364088	38432	657073	656	348	4	0	6.6667	3
8249	track_1313073	394439	651356	2167	1435	2	0	9.3333	3
6249	track_1135703	63484	642080	260	123	52	4	7.5	2
1860	track_0208937	5913	636006	140	64	2	0	8.0	2
3075	track_0415597	9315	627252	275	141	2	0	8.0	3
2478	track_0323090	1411	627016	45	19	2	1	8.0	2
2881	track_0378305	12687	621110	137	53	4	0	8.5	2
499	track_0033323	7722	608116	199	116	2	0	7.0	2
3176	track_0457118	15013	603825	709	414	7	0	9.0	3
7666	track_1267288	499545	602842	596	333	4	0	0.0	0
2075	track_0243172	8810	600452	1124	751	1	0	8.0	2
2726	track_0356417	20862	600141	137	60	6	0	8.0	2
4683	track_1009673	9882	598148	149	65	5	1	8.0	3
4662	track_1009674	28073	582412	162	65	5	1	7.75	4
3117	track_0437793	4379	575113	149	76	6	1	8.6667	3
9645	track_1408401	37998	573384	533	292	0	0	8.0	1
8465	track_1334807	269744	572532	3198	1858	0	0	7.5	8
2668	track_0353341	21740	571936	634	203	6	3	8.6667	3
2863	track_0373793	14871	567893	40	13	0	1	8.0	2
2090	track_0242738	7752	563823	1108	719	2	0	8.0	2
8110	track_1296198	179230	563473	2362	1073	10	0	4.8	5
125	track_0006719	26580	555511	981	594	5	0	8.0	2
3212	track_0457119	6301	551328	499	278	4	1	8.0	2
2293	track_0296237	12830	544288	577	307	7	0	6.3333	3
6547	track_1156054	21064	541254	410	232	12	1	9.6667	3
3365	track_0500970	19270	541244	221	105	12	2	8.0	4
7055	track_1187979	20026	540735	39	14	3	0	8.0	2
796	track_0043984	7006	539258	146	79	3	0	8.0	2
140	track_0006721	10654	538286	933	593	4	0	8.0	2
4407	track_0945193	30414	533923	181	103	1	0	9.0	3
2704	track_0356441	9175	530432	146	79	4	0	8.0	2
6237	track_1135054	54202	530046	516	303	3	0	8.0	2
2143	track_0259288	33924	528316	461	231	4	2	7.0	3
2093	track_0242349	12660	527486	1148	747	0	0	8.0	2
7584	track_1245192	13321	526623	271	106	0	0	8.0	1
2532	track_0330650	34396	522211	187	106	8	2	8.0	2
838	track_0048721	17141	521331	335	140	3	0	7.0	3
6864	track_1169701	12073	520867	48	22	2	0	8.0	3
1541	track_0172015	15381	517261	357	199	5	3	8.6667	3
8229	track_1312858	44541	514363	119	73	1	0	8.5	4
2086	track_0243734	6077	510951	1116	722	4	0	8.0	2
3124	track_0437791	4366	510175	205	96	4	1	8.0	2
206	track_0011839	12584	505581	970	575	13	1	8.6667	3
599	track_0035350	14816	504639	1163	763	1	0	6.0	3
8381	track_1327741	35600	503941	276	184	0	0	9.0	1
7753	track_1275424	8099	503512	111	65	2	0	8.0	2
7070	track_1188123	4084	499865	31	11	0	0	8.0	1
160	track_0007257	38357	498784	1390	676	5	1	7.0	3
2853	track_0376419	8668	495252	127	42	5	0	8.0	2
1449	track_0145949	24472	495143	1126	491	9	1	8.0	2
7623	track_1254633	9914	493680	115	65	2	0	8.0	2
6355	track_1138689	33057	492504	496	288	30	1	9.0	3
6630	track_1162034	21490	485097	161	83	1	0	8.0	2
2313	track_0296238	17428	482386	582	327	26	1	7.0	2
6933	track_1173652	74371	474119	1301	724	16	0	5.0	2
7573	track_1245189	7924	473257	117	51	0	0	9.0	2
3939	track_0785423	133610	468743	1771	796	51	1	8.4	5
6324	track_1138697	4689	461665	117	71	0	0	8.0	2
1719	track_0187621	44453	458540	414	218	1	0	8.0	2
7377	track_1218780	9230	456931	139	85	3	0	8.0	2
1344	track_0132870	7750	454403	109	39	5	0	8.6667	3
138	track_0007096	14775	453793	112	58	0	0	8.0	2
502	track_0033324	11780	452823	252	157	1	0	8.6667	3
6335	track_1138688	4963	452130	89	53	1	0	8.0	2
7588	track_1245183	12117	448079	116	52	0	0	8.0	5
2526	track_0330655	6550	447482	87	41	1	0	8.0	2
2333	track_0304775	8154	446049	105	46	0	0	7.0	2
769	track_0043988	2804	441500	137	78	1	0	8.0	2
7324	track_1211608	15346	438724	135	68	0	0	8.0	2
7590	track_1245186	7130	437780	164	62	1	0	6.0	2
2358	track_0305160	17112	434822	179	84	3	1	8.0	2
2117	track_0259285	8286	432096	445	221	2	0	7.0	2
1413	track_0135659	11655	425030	608	328	5	0	8.0	2
7624	track_1254634	10024	424769	287	182	2	0	8.0	2
983	track_0083867	4459	424157	161	72	4	1	8.0	2
1093	track_0103892	5731	421331	139	54	0	0	4.0	3
1519	track_0172023	38098	420995	372	210	7	3	8.0	2
1902	track_0212013	13260	418982	291	108	8	2	7.3333	3
2283	track_0296236	11277	418271	608	349	3	3	7.0	2
3923	track_0785426	80492	416872	1742	759	34	1	8.4	5
792	track_0043987	2037	416823	135	76	0	0	8.0	2
5582	track_1086667	6939	413351	149	93	7	0	8.0	2
7587	track_1245191	1434	413346	15	7	0	0	10.0	1
134	track_0006722	21881	412192	1130	726	7	0	8.0	2
223	track_0011751	6514	410953	257	156	2	0	8.0	2
2328	track_0305163	14507	408312	174	80	2	0	8.0	2
753	track_0043882	9374	407746	1266	888	8	0	8.0	3
5094	track_1054342	3496	406138	76	46	2	0	8.0	2
5084	track_1054343	3527	403470	112	74	0	0	8.0	2
5054	track_1051378	71268	392155	264	129	29	3	8.2	5
7169	track_1199044	14568	390918	74	33	1	0	8.0	2
2747	track_0357330	129303	384509	145	66	1	0	8.0	2
768	track_0043990	6767	384067	179	103	2	0	8.0	2
2208	track_0264261	30524	384059	74	27	1	0	8.0	2
2754	track_0360978	12043	382460	382	194	1	0	8.0	2
2934	track_0389520	5199	381879	94	33	3	1	8.0	2
3376	track_0500978	83880	380717	55	19	2	0	8.0	2
8979	track_1356313	5645	379774	29	15	0	0	6.5	2
7586	track_1245181	3273	379741	14	5	0	0	0.0	0
9309	track_1386744	78473	379712	232	137	0	0	7.0	2
865	track_0066942	18069	377144	1271	740	14	0	6.3333	3
7089	track_1194314	7210	376451	193	91	7	0	8.5	2
4465	track_0957463	24065	375913	321	166	2	0	8.0	2
6029	track_1124837	74613	374529	780	404	1	0	9.0	2
527	track_0033326	5597	374506	197	125	1	0	4.0	3
5315	track_1068667	79833	373316	885	571	188	4	9.2857	7
95	track_0005341	103379	371700	6501	4947	25	3	4.0	1
7567	track_1245187	1903	370857	25	7	0	0	8.0	1
1034	track_0094725	3557	369663	949	593	3	0	8.0	2
5126	track_1057890	154458	368197	9	3	0	0	4.0	1
1812	track_0202741	2001	365996	46	24	0	0	8.0	2
2730	track_0357210	41301	363446	90	34	1	0	8.6667	3
1562	track_0171573	10015	363200	320	160	8	5	7.0	2
1726	track_0187622	3883	362936	224	122	1	0	8.0	2
419	track_0025254	38783	359644	1547	775	8	1	8.0	3
3068	track_0415208	24262	359272	1082	658	5	0	8.0	4
7592	track_1245185	2833	357055	18	7	0	0	9.0	2
3082	track_0428529	18686	356669	180	65	6	1	7.0	2
875	track_0066945	5385	356239	980	666	2	0	8.0	2
5397	track_1078392	35542	353520	261	147	45	1	8.0	2
3018	track_0405787	9744	352630	373	183	2	0	8.0	2
200	track_0012303	24866	351873	1551	1077	18	0	8.25	4
4491	track_0957460	15887	351872	250	113	2	0	8.25	4
494	track_0033322	12768	351368	324	186	24	2	8.0	2
1434	track_0145960	6623	349952	651	458	2	0	8.0	2
6939	track_1174507	5275	349577	22	9	2	0	7.0	1
6620	track_1162015	28548	349555	359	208	6	0	8.0	2
66	track_0005347	186922	348719	6423	4940	16	0	7.0	2
2148	track_0259287	6398	347478	344	177	3	0	8.0	2
1001	track_0094736	3630	347045	902	558	3	0	8.0	2
1708	track_0187625	25194	346967	385	206	7	0	8.0	2
2338	track_0304773	27597	346808	134	53	3	1	8.0	2
963	track_0083891	3058	345804	181	96	6	2	8.0	2
7566	track_1245182	1144	344869	25	9	0	0	8.0	1
5015	track_1051194	4084	344318	117	60	8	0	8.0	2
4630	track_0986589	2015	341713	72	39	1	0	8.0	2
7051	track_1187965	10714	341156	103	50	1	0	8.0	2
2269	track_0293525	21800	340808	210	99	10	0	8.6667	3
5585	track_1086668	9191	340437	167	110	8	0	8.0	2
3918	track_0785436	8350	339500	790	422	5	0	7.0	2
151	track_0007360	16870	339464	1210	696	7	1	8.0	2
4484	track_0957458	8111	339460	262	159	2	0	8.5	4
7576	track_1245188	1284	338254	13	4	0	0	0.0	0
7581	track_1245190	709	336682	15	8	0	0	0.0	0
7585	track_1245184	2093	335182	16	7	0	0	8.0	1
3983	track_0786937	8390	334292	375	234	0	0	8.0	2
4001	track_0792434	3708	332577	90	50	2	0	8.0	2
6286	track_1136142	70144	330661	351	197	41	1	9.0	3
6023	track_1122392	77655	327855	737	452	81	4	8.3333	3
7332	track_1211600	1263	326273	31	19	2	0	8.0	2
3738	track_0700220	19254	324691	424	247	6	0	8.25	4
5283	track_1066134	1052	324280	12	4	0	0	6.0	1
6669	track_1162103	267093	322694	702	445	37	0	8.2	5
2259	track_0285381	9019	320925	111	55	1	1	0.0	0
4509	track_0957462	12951	320557	190	89	7	0	8.0	2
3915	track_0785415	14926	319791	874	469	5	0	8.0	2
581	track_0035352	20613	318607	1098	732	1	0	7.6667	3
468	track_0026432	59036	317963	1853	998	17	0	8.3333	6
6949	track_1176716	27169	317938	485	336	1	0	8.0	1
216	track_0011840	9037	316933	993	597	4	0	6.25	4
3453	track_0537116	14872	316055	397	228	2	0	9.0	2
2897	track_0383975	19221	314386	64	21	0	0	8.6667	3
2739	track_0357361	139279	314229	106	55	0	0	8.0	2
4444	track_0945200	36014	314219	487	294	7	0	7.3333	3
6564	track_1156051	4730	313510	130	68	4	0	9.3333	3
7297	track_1211599	2537	313434	47	28	1	0	8.0	2
995	track_0101006	7590	312557	97	42	3	1	9.0	2
5568	track_1086669	12919	310980	142	89	8	0	8.0	2
3625	track_0635960	5235	310811	164	70	0	0	8.0	2
2727	track_0357273	5365	310645	89	45	0	0	8.0	2
2742	track_0357365	19641	309645	118	58	0	0	8.0	2
81	track_0005343	84735	309495	6530	4969	12	2	6.0	4
189	track_0007359	17917	309198	1206	672	1	2	8.0	2
1431	track_0145964	11870	306870	828	536	68	9	8.6667	3
6384	track_1143013	117341	306727	1657	1031	11	0	9.3333	3
3483	track_0579646	11351	306490	419	219	1	0	8.0	2
2840	track_0364840	19742	306007	38	14	1	0	8.0	2
5078	track_1054344	3092	305454	35	15	0	0	8.0	2
3254	track_0461018	21023	304507	1072	544	12	0	8.0	1
3853	track_0741324	2695	303415	214	94	1	0	8.0	2
2279	track_0301358	20309	301820	118	51	7	0	7.0	2
3659	track_0636028	2773	300058	171	76	0	0	8.0	2
3494	track_0579639	104838	299885	466	231	1	0	8.0	2
7049	track_1187978	65797	299043	119	67	4	0	8.0	2
3510	track_0579644	12912	298766	430	224	0	0	8.0	2
94	track_0005345	74636	296850	6540	4968	18	2	0.0	0
2721	track_0357385	5371	296406	89	49	1	0	8.0	2
2708	track_0357314	12265	296336	99	50	0	0	8.0	2
1636	track_0178480	12079	296322	151	86	1	0	7.0	2
6570	track_1156053	8805	295732	71	31	2	0	9.0	2
1045	track_0101190	17221	295694	88	47	5	0	9.0	2
4862	track_1036439	34291	295109	316	192	37	0	8.0	2
3618	track_0636014	4860	295044	158	73	0	0	8.0	2
7291	track_1211605	1781	294025	44	27	0	0	8.0	2
2460	track_0329518	19517	293891	41	11	0	0	7.0	2
493	track_0033325	4996	293313	188	103	3	0	8.6667	3
5964	track_1119018	9578	293073	86	50	2	0	8.0	2
233	track_0011841	6350	292431	882	585	3	0	8.0	2
6802	track_1167648	32746	291490	284	169	2	0	9.0	3
773	track_0043983	4577	291125	184	88	1	2	8.0	2
6842	track_1169710	35497	289233	226	117	0	0	8.0	3
7527	track_1239507	11440	289182	166	108	0	0	7.0	2
9004	track_1357128	5053	289180	26	12	0	0	7.0	2
6357	track_1138691	1312	289052	36	17	1	0	8.0	2
101	track_0006730	5240	288385	853	577	2	0	8.0	2
6927	track_1176657	4273	287562	64	35	0	0	8.0	2
2755	track_0364087	7206	285639	542	296	2	0	7.0	2
4722	track_1014955	66023	283832	360	177	32	2	7.4	5
248	track_0012306	37250	283474	2026	1132	6	0	7.6	5
6381	track_1143012	78722	282435	1125	489	10	0	8.0	3
2717	track_0357387	7188	281424	108	57	0	0	8.0	2
6704	track_1163315	14073	281348	273	142	7	0	9.0	4
7597	track_1254627	19243	281028	232	147	5	0	8.0	2
1700	track_0190781	12902	280517	158	69	9	1	9.25	4
56	track_0005346	72708	278422	6565	4969	18	0	8.0	2
7312	track_1211604	7266	277503	44	26	1	0	8.0	2
5404	track_1078393	4954	277119	70	25	8	0	0.0	0
8965	track_1356870	3121	276739	19	5	0	0	6.5	2
225	track_0011842	4216	276351	868	583	2	0	8.0	2
3390	track_0500969	7851	275697	100	35	3	0	8.0	2
5107	track_1054345	7610	275116	93	46	0	1	8.0	2
202	track_0011845	6839	274617	922	597	5	0	8.0	2
1640	track_0178482	12389	273392	97	50	2	1	7.0	2
3228	track_0458248	9026	272608	148	76	0	0	8.0	2
3938	track_0785425	25473	272391	942	481	12	0	9.25	4
6374	track_1143155	42244	271175	969	651	11	0	8.0	2
5613	track_1090143	19048	271135	125	73	0	0	8.0	1
277	track_0015171	25702	269751	1785	1338	4	2	7.0	2
2087	track_0244237	4665	269461	1082	710	2	0	8.0	2
5799	track_1108554	48304	268417	718	481	47	2	8.0	2
3164	track_0457082	13855	267584	643	342	6	1	8.0	2
8996	track_1356868	671	267085	7	0	0	0	6.5	2
7492	track_1235608	13683	267020	137	79	0	0	8.6667	3
7309	track_1211607	755	266309	35	21	0	0	8.0	2
4564	track_0975624	98210	266300	157	72	10	8	8.0	2
2339	track_0306199	23957	266147	22	12	0	0	0.0	0
3590	track_0617342	18074	265893	78	40	1	1	7.3333	3
3607	track_0617335	12015	264973	60	31	0	0	8.0	2
60	track_0005342	64281	264166	6343	4914	7	0	4.0	1
2706	track_0354818	11274	264007	219	106	3	0	7.0	2
7305	track_1211606	1168	263270	30	16	0	0	8.0	2
8983	track_1356854	1113	261834	7	0	0	0	6.5	2
8037	track_1294742	3509	260161	40	12	0	0	6.0	1
8016	track_1293999	10842	260055	113	55	0	0	9.0	2
2715	track_0356420	37054	259938	127	70	3	1	8.0	2
7483	track_1235602	14104	259455	148	74	1	0	8.0	2
2495	track_0329515	8675	259153	75	16	2	0	5.0	4
4129	track_0865116	31683	258932	188	87	7	0	10.0	2
7007	track_1180593	99928	257688	60	26	0	0	0.0	0
114	track_0006726	33658	257194	889	587	2	0	8.0	2
3744	track_0700224	12257	256059	406	228	5	1	7.3333	3
3582	track_0617330	43976	255690	71	37	0	0	8.0	2
5195	track_1060600	13040	255541	61	27	0	0	7.0	1
3361	track_0500965	13778	254595	46	16	0	0	8.0	2
2777	track_0360983	3703	254529	349	179	0	0	8.0	2
2794	track_0361002	2632	254462	340	176	0	0	8.0	2
3932	track_0785414	40405	252101	977	505	17	1	5.25	4
6231	track_1135707	1561	251198	31	12	3	0	10.0	1
3579	track_0617329	24832	250823	90	49	2	0	8.0	2
8169	track_1307834	7953	250624	162	84	2	0	8.5	2
3388	track_0511074	3459	250301	127	60	5	0	8.0	2
238	track_0012301	25317	249763	1626	1047	10	0	8.0	2
3285	track_0482275	2511	248546	286	139	1	0	8.0	2
8025	track_1294740	10283	248425	239	117	0	0	7.3333	3
7296	track_1214580	76887	247140	509	316	14	1	5.0	2
3067	track_0415596	12207	246534	286	173	5	2	8.0	2
8977	track_1356312	604	246014	14	2	0	0	6.5	2
3608	track_0617341	6192	246003	35	13	1	0	6.0	3
9616	track_1402647	43024	245973	719	483	0	0	10.0	1
2632	track_0344325	26408	244999	208	97	4	1	8.3333	3
3023	track_0408503	5495	244968	112	58	0	0	8.0	2
1438	track_0145958	23140	244788	687	455	9	2	8.5	4
7774	track_1275455	13248	243278	199	112	2	0	8.0	2
2291	track_0296241	16668	243236	739	433	19	3	7.0	2
406	track_0025379	66140	241932	1283	626	8	0	6.0	2
4601	track_0986583	678	241596	27	13	0	0	8.0	2
3940	track_0785413	27601	239223	892	445	7	1	8.0	2
1590	track_0174404	10149	238430	200	103	11	0	8.0	2
424	track_0024837	8599	237216	296	150	2	0	8.0	2
6170	track_1131366	23095	236647	62	28	0	0	8.0	2
8521	track_1338443	20495	236201	315	188	0	0	10.0	3
3900	track_0785434	45468	235833	1205	642	26	1	8.5	4
2723	track_0359659	6487	235430	100	42	1	0	8.6667	3
9762	track_1412340	23722	234596	481	316	0	0	8.0	1
7113	track_1194311	9002	234471	216	109	11	0	8.0	2
5036	track_1051205	5875	233783	152	83	12	0	8.0	2
7120	track_1194313	31298	233486	388	237	10	0	7.6667	3
2275	track_0293612	3583	233222	94	34	1	0	8.6667	3
8975	track_1356325	673	232650	13	3	0	0	6.5	2
6549	track_1156057	6320	232619	106	54	5	0	9.0	2
5023	track_1051199	39765	232571	367	179	27	2	9.25	4
7090	track_1194316	251455	231261	489	275	48	3	8.6667	3
6636	track_1162019	3529	230623	67	26	2	0	8.0	2
4613	track_0976784	4941	228749	172	120	1	0	8.0	2
467	track_0026435	43636	228686	1153	667	1	0	8.0	3
6230	track_1133831	361674	227151	328	165	56	14	6.75	4
1458	track_0146588	20843	227014	574	311	8	0	9.0	3
6779	track_1166070	9455	226785	185	85	5	0	8.0	1
9781	track_1418302	2420	225376	32	10	0	0	7.0	1
51	track_0005089	19101	225153	268	128	3	0	6.3333	3
5997	track_1119405	3298	224652	72	46	4	0	8.0	2
3914	track_0785420	25011	224269	1000	481	12	1	7.0	3
2219	track_0285504	11613	224220	106	59	4	0	8.0	2
365	track_0024018	10587	223476	290	170	16	4	7.0	2
1461	track_0146589	25397	223090	376	192	5	2	9.0	3
8288	track_1315725	1318	222919	35	19	0	0	8.0	1
1333	track_0132867	7618	222870	52	20	1	0	8.0	2
8193	track_1307725	9324	222404	116	57	1	0	8.0	1
3055	track_0406262	4814	222140	380	204	0	0	8.0	2
9022	track_1357117	1130	221830	17	3	0	0	7.5	2
3089	track_0416358	2867	221187	69	35	0	0	8.0	2
2251	track_0285434	8694	221165	141	79	4	1	8.0	2
2942	track_0397582	5548	221154	62	26	4	0	8.0	2
9046	track_1357000	2130	221063	12	4	0	0	6.5	2
90	track_0005344	67310	220773	6389	4932	7	1	6.0	1
9026	track_1357005	840	220217	13	3	0	0	6.5	2
4856	track_1036801	1404	219742	13	1	1	0	0.0	0
5051	track_1051203	3622	219617	80	42	1	0	8.0	2
5294	track_1066198	4259	219350	47	23	2	0	8.0	3
2612	track_0345141	19065	219021	127	80	0	0	8.0	2
2011	track_0229487	1269	218989	61	30	1	0	8.0	2
2250	track_0285383	7090	218777	97	52	2	0	8.0	2
9018	track_1357012	564	218121	7	0	0	0	6.5	2
2458	track_0317695	3278	217825	99	42	3	2	7.6667	3
8507	track_1341050	15495	217652	11	5	0	0	7.0	2
5462	track_1079319	336602	217025	29	8	3	0	6.0	1
1382	track_0135661	13582	216804	542	293	2	1	7.0	2
6679	track_1162102	28534	216786	860	527	24	0	9.3333	3
8196	track_1307838	27049	215851	180	100	0	0	10.0	1
8223	track_1313870	11722	215851	3	0	0	0	0.0	0
4566	track_0973498	7826	215673	147	81	0	0	8.0	2
4385	track_0945197	17869	215400	397	257	8	0	8.0	3
9033	track_1357019	1268	214830	14	5	0	0	6.5	2
3933	track_0785435	26812	214276	959	504	8	0	7.0	2
1524	track_0172016	14210	214274	332	198	7	0	8.0	2
7838	track_1278316	3290	214140	26	7	0	0	8.0	1
3195	track_0457117	3787	214049	480	274	1	0	8.0	2
3372	track_0500964	3559	213899	40	15	3	0	8.0	2
9044	track_1356875	1211	213262	19	7	0	0	7.0	2
6856	track_1168676	35835	213199	644	269	6	0	8.0	3
2387	track_0307395	31768	213044	145	79	10	0	8.0	2
5024	track_1051202	3453	211620	123	65	5	0	8.0	2
3364	track_0510383	2529	211139	142	68	7	0	8.5	4
3767	track_0700217	22033	210964	642	276	20	0	8.0	2
7329	track_1211484	1693	210930	25	6	1	0	6.0	1
3929	track_0780639	4302	209172	46	14	1	0	8.0	2
8014	track_1293996	7389	209153	117	75	0	0	9.0	2
4150	track_0873817	4405	207492	209	130	1	0	8.0	2
3219	track_0459435	3802	206636	83	30	9	0	8.0	3
2771	track_0362371	38451	206022	95	43	4	0	8.0	2
1357	track_0132293	1532	205756	58	24	2	0	4.6667	3
1244	track_0127609	17369	205464	320	80	3	0	8.0	2
8976	track_1356871	531	205069	8	1	0	0	6.0	2
9041	track_1357022	1510	204873	18	5	0	0	7.0	2
4622	track_0976785	1808	204211	59	37	0	0	7.0	2
8314	track_1320579	14985	203823	60	27	0	0	7.6667	3
422	track_0025380	44711	202784	1135	642	6	0	0.0	0
1224	track_0123447	17766	201931	165	86	0	0	8.0	2
104	track_0006729	7950	201517	891	595	3	0	7.3333	3
1994	track_0229459	1281	200111	61	26	2	0	7.0	2
6035	track_1121847	249969	199389	213	97	67	11	8.3333	6
2746	track_0359657	6275	199270	135	69	0	0	8.6667	3
9013	track_1357009	3016	197733	10	2	0	0	6.5	2
2745	track_0359653	11868	197581	206	105	1	0	8.6667	3
9030	track_1357024	2734	197235	13	3	0	0	7.0	2
8041	track_1294747	2160	196855	28	6	0	0	8.0	2
8504	track_1341058	12507	196446	13	6	0	0	7.0	2
8068	track_1294750	1322	196443	25	7	0	0	8.0	2
3733	track_0686757	4026	196020	133	53	4	0	7.6667	3
8011	track_1294002	5914	195937	65	40	0	0	9.0	2
9036	track_1357027	1984	195877	9	1	0	0	6.5	2
5639	track_1089085	4333	195161	169	85	10	0	9.0	2
9006	track_1357125	722	194766	14	4	0	0	7.0	2
3243	track_0461012	15119	192921	880	532	13	0	0.0	0
9011	track_1357123	624	192577	16	6	0	0	7.5	2
4711	track_1023273	26786	191763	128	61	7	1	8.0	1
5992	track_1119407	5250	191711	80	46	4	0	7.0	2
993	track_0089805	1198	191623	25	7	0	0	8.0	2
411	track_0025244	12307	191283	1152	684	8	0	8.0	1
5065	track_1053842	9067	190781	137	89	1	0	8.0	2
6503	track_1151409	6540	189616	75	47	5	0	0.0	0
7010	track_1180633	96244	188926	75	40	3	0	0.0	0
3244	track_0461015	9088	188793	846	525	12	0	8.0	2
8306	track_1320573	1305	187883	39	18	0	0	7.6667	3
6894	track_1169734	52995	187745	261	129	0	0	8.0	3
2774	track_0362403	10313	187656	73	23	0	0	8.6667	3
228	track_0012304	13596	186926	1512	1024	8	0	8.6667	3
5405	track_1078389	11485	186191	109	61	4	0	8.0	2
1731	track_0187623	4589	185995	219	123	2	0	8.0	2
2230	track_0285485	8217	185645	151	87	2	2	8.0	2
9034	track_1357132	1127	185032	11	3	0	0	7.0	2
6654	track_1162101	43650	184724	1296	800	17	0	8.0	3
2696	track_0353494	4414	184514	339	174	0	0	8.0	2
8499	track_1338036	2844	183391	54	31	0	0	9.0	2
