	track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
8838	track_1351477	1340	2910	14	7	0	0	2.0	1
6715	track_1164245	1892	2902	13	5	0	0	0.0	0
2819	track_0366580	698	2901	53	34	0	0	0.0	0
8703	track_1348068	889	2901	13	3	0	0	10.0	1
6678	track_1163210	1177	2900	17	8	0	0	4.0	1
5765	track_1104716	1476	2899	6	2	0	0	0.0	0
2482	track_0321965	1375	2899	14	8	0	0	0.0	0
3370	track_0497883	766	2898	9	6	0	0	6.0	1
2512	track_0330755	692	2897	6	2	0	0	0.0	0
4065	track_0823854	1532	2896	12	1	0	0	0.0	0
2514	track_0330759	606	2895	7	3	1	0	0.0	0
311	track_0019852	1398	2894	46	23	0	0	0.0	0
7235	track_1204454	2582	2894	1	1	0	0	0.0	0
5096	track_1056068	1768	2893	6	2	2	0	10.0	1
7836	track_1277850	4820	2893	8	3	0	0	10.0	1
1615	track_0173343	429	2892	59	35	0	0	4.0	1
2646	track_0341822	3609	2891	1	0	0	0	0.0	0
7311	track_1212531	348	2891	6	2	0	0	0.0	0
87	track_0005991	809	2890	16	6	0	0	4.0	1
3047	track_0410115	1000	2889	49	31	0	0	0.0	0
7533	track_1237362	7561	2889	6	0	0	0	0.0	0
632	track_0037368	390	2887	64	37	0	0	0.0	0
7721	track_1271421	1265	2887	0	0	0	0	0.0	0
3924	track_0774691	1009	2885	0	0	1	0	0.0	0
6761	track_1166109	2095	2884	8	3	0	0	0.0	0
7440	track_1231349	5213	2884	6	2	0	0	0.0	0
6198	track_1133076	977	2882	14	5	0	0	0.0	0
1280	track_0127599	447	2881	109	46	0	0	0.0	0
3840	track_0743015	782	2878	17	6	0	1	0.0	0
4828	track_1033257	495	2878	13	6	1	0	6.0	1
5239	track_1061459	498	2878	24	12	0	0	0.0	0
4111	track_0858720	429	2877	20	6	0	0	0.0	0
6747	track_1164982	3051	2877	12	5	0	0	0.0	0
3479	track_0541010	433	2874	10	6	0	0	0.0	0
5913	track_1116400	1431	2870	13	7	1	0	0.0	0
5821	track_1109817	1089	2868	18	8	1	0	0.0	0
2040	track_0235858	965	2868	49	32	0	0	0.0	0
3489	track_0577204	1468	2868	11	5	0	0	0.0	0
3545	track_0582659	810	2867	48	27	0	0	0.0	0
3072	track_0428558	2358	2864	2	0	0	0	0.0	0
2807	track_0366008	1009	2863	12	5	0	0	0.0	0
7403	track_1223300	767	2863	7	2	0	0	0.0	0
1764	track_0192584	1162	2863	35	13	0	0	0.0	0
7595	track_1242793	1854	2863	8	3	0	0	0.0	0
9235	track_1381310	3006	2862	4	3	0	0	0.0	0
9228	track_1375909	2535	2859	4	1	0	0	2.6667	3
9008	track_1358552	2368	2858	14	7	0	0	0.0	0
6363	track_1138695	1183	2856	21	10	0	0	0.0	0
7262	track_1209402	2247	2854	9	3	0	0	0.0	0
7407	track_1227936	17704	2853	2	0	0	0	0.0	0
1306	track_0132279	883	2853	64	44	0	0	0.0	0
7725	track_1271419	1118	2852	1	0	0	0	0.0	0
4970	track_1044669	953	2847	7	5	3	0	8.5	2
9464	track_1396074	1084	2845	8	7	0	0	2.3333	3
6229	track_1133075	886	2845	19	10	0	0	0.0	0
8887	track_1353449	964	2844	10	4	0	0	6.5	2
951	track_0078132	393	2843	36	20	0	0	0.0	0
2851	track_0366007	862	2842	12	5	0	0	0.0	0
2350	track_0305166	620	2840	106	65	0	0	0.0	0
3925	track_0776875	1600	2839	2	1	0	0	0.0	0
4235	track_0908550	776	2838	21	11	0	0	0.0	0
4506	track_0961953	438	2837	2	1	0	0	0.0	0
6804	track_1168168	16387	2837	3	1	0	0	0.0	1
2803	track_0361339	1880	2835	10	2	0	0	0.0	0
978	track_0082179	1064	2830	9	6	0	0	0.0	0
9274	track_1381913	5243	2829	5	2	0	0	7.0	2
4194	track_0887987	759	2828	6	3	0	0	0.0	0
7903	track_1281204	4063	2826	3	1	0	0	0.0	0
9463	track_1397742	914	2826	10	4	0	0	0.0	0
3354	track_0490321	1435	2823	5	2	0	0	0.0	0
7712	track_1267344	1963	2819	35	20	2	0	0.0	0
9429	track_1394316	476	2819	27	20	0	0	0.0	0
2323	track_0301852	509	2818	50	26	0	0	0.0	0
8815	track_1352148	669	2818	21	8	0	0	0.0	0
6306	track_1136904	1311	2818	6	2	0	0	0.0	0
655	track_0037370	828	2817	65	39	0	0	0.0	0
5679	track_1096308	2648	2815	4	2	1	0	0.0	0
5774	track_1099319	789	2814	8	2	1	0	0.0	0
5501	track_1083980	1273	2814	10	7	2	0	6.0	1
5517	track_1081062	3363	2814	0	0	0	0	0.0	0
4991	track_1044777	2469	2812	6	3	0	0	0.0	0
4249	track_0899881	2875	2812	3	1	0	0	0.0	0
3135	track_0429005	1040	2811	15	6	0	0	0.0	0
8604	track_1344328	851	2811	29	13	0	0	5.0	2
3452	track_0543399	1407	2810	14	6	0	0	0.0	0
2933	track_0397599	831	2810	13	6	0	0	0.0	0
8592	track_1344544	338	2809	6	1	0	0	0.0	0
3981	track_0786656	1294	2808	11	2	0	0	6.0	1
8657	track_1344558	364	2808	7	2	0	0	0.0	0
3699	track_0670351	1427	2805	5	2	0	0	0.0	0
3293	track_0470556	602	2805	26	16	0	0	0.0	0
7343	track_1217304	823	2804	5	0	0	0	0.0	0
8495	track_1337803	657	2803	7	6	0	0	0.0	0
2198	track_0261819	994	2801	14	5	0	0	4.0	1
8066	track_1294129	177	2800	9	9	0	0	0.0	0
4833	track_1032559	1241	2796	2	0	0	0	0.0	0
2048	track_0235870	2287	2795	55	34	0	0	0.0	0
3782	track_0707021	463	2795	12	7	0	0	0.0	0
1790	track_0196591	353	2795	48	31	0	0	0.0	0
9689	track_1406569	1888	2794	10	5	0	0	0.0	0
5661	track_1090150	2280	2793	7	4	0	0	0.0	0
8937	track_1354584	514	2789	7	3	0	0	0.0	0
4014	track_0800686	4230	2787	1	1	0	0	7.0	1
4447	track_0956537	270	2785	7	4	0	0	0.0	0
6752	track_1164993	1530	2785	10	5	1	0	0.0	0
9476	track_1397142	1143	2784	17	7	0	0	8.0	1
4354	track_0936442	3350	2784	5	0	0	0	0.0	0
8087	track_1296703	2029	2782	180	179	0	0	0.0	0
8528	track_1337802	2445	2782	3	2	0	0	0.0	0
9369	track_1388884	712	2781	10	7	0	0	0.0	0
4552	track_0962776	717	2776	8	3	0	0	0.0	0
3879	track_0761661	1896	2776	6	3	0	0	0.0	0
4824	track_1033261	4178	2775	10	3	0	0	6.0	1
2665	track_0347537	1282	2775	76	48	1	0	0.0	0
8650	track_1346630	4652	2775	58	58	0	0	1.3333	3
7236	track_1204455	3860	2774	2	1	0	0	0.0	0
2915	track_0388232	2541	2773	2	1	0	0	0.0	0
9331	track_1388864	733	2772	23	10	0	0	0.0	0
4830	track_1033670	949	2772	5	1	1	0	0.0	0
5359	track_1071877	640	2770	15	8	0	0	0.0	0
7957	track_1283754	263	2770	2	1	0	0	0.0	0
3949	track_0786254	265	2767	17	7	0	0	0.0	0
4025	track_0792451	1185	2764	28	14	1	0	6.0	1
7961	track_1285718	1225	2764	5	3	0	0	0.0	0
6828	track_1166678	3018	2764	5	3	0	0	10.0	2
654	track_0037376	644	2761	63	36	0	0	0.0	0
8402	track_1326950	1140	2761	17	10	0	0	0.0	0
7360	track_1215375	938	2760	1	0	0	0	0.0	0
9340	track_1388863	677	2759	8	3	0	0	0.0	0
658	track_0037374	434	2758	66	36	0	0	0.0	0
9697	track_1409046	1890	2758	190	188	0	0	2.0	2
1316	track_0130604	867	2755	73	31	0	0	0.0	0
3561	track_0582655	1458	2754	46	26	1	0	0.0	0
5869	track_1109815	624	2752	4	0	0	0	0.0	0
7471	track_1231491	1331	2751	5	4	0	0	0.0	0
4319	track_0936450	1225	2751	2	1	0	0	0.0	0
8892	track_1353770	501	2751	7	3	0	0	3.0	1
4410	track_0943391	1080	2751	3	0	1	0	0.0	0
7921	track_1281205	3025	2749	5	2	0	0	0.0	0
7972	track_1283769	893	2748	2	1	0	0	0.0	0
4785	track_1027900	5629	2747	13	4	0	0	0.0	0
3797	track_0723361	842	2746	51	28	0	0	0.0	0
